date,ts_recv,ts_event,side,price,size,ticker,und_ticker,expiration_date,option_type,strike_price
2025.04.02,13:55:27.017019477,13:55:27.016811264,N,0.2,4,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.02,14:22:39.678648667,14:22:39.678439424,N,0.25,1,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.02,14:32:46.587215250,14:32:46.587005184,N,2.15,3,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.02,15:45:11.933565053,15:45:11.933355008,N,2.09,8,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.02,15:54:36.999228577,15:54:36.999018496,N,2.05,1,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.02,15:54:37.099255773,15:54:37.099045888,N,2.09,5,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.02,15:54:37.099275992,15:54:37.099065856,N,2.09,4,XRX   250417P00007000,XRX,2025.04.17,P,7
2025.04.03,09:30:36.232825506,09:30:36.232611328,N,1.5,2,XRX   250620P00006000,XRX,2025.06.20,P,6
2025.04.03,09:41:29.328670269,09:41:29.328455680,N,1.7,1,XRX   250620P00006000,XRX,2025.06.20,P,6
2025.04.03,10:54:20.354564574,10:54:20.354351616,N,1.95,1,XRX   250620P00006000,XRX,2025.06.20,P,6
2025.04.03,14:11:21.971385435,14:11:21.971173632,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.971545843,14:11:21.971334144,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.971621175,14:11:21.971409152,N,1.35,78,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.971621175,14:11:21.971409152,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.971721232,14:11:21.971509504,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.971891665,14:11:21.971679744,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.972032025,14:11:21.971820288,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.972117309,14:11:21.971905280,N,1.35,1,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.972768693,14:11:21.972556800,N,1.35,4,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.973440535,14:11:21.973228544,N,1.35,3,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:11:21.975214533,14:11:21.975002624,N,1.34,8,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,14:18:29.370155690,14:18:29.369943808,N,1.35,14,XRX   250516C00003000,XRX,2025.05.16,C,3
2025.04.03,11:48:34.160572087,11:48:34.160360960,N,0.44,4,XRX   250620P00004000,XRX,2025.06.20,P,4
2025.04.03,10:32:08.934742251,10:32:08.934531840,N,0.2,50,XRX   250516C00005000,XRX,2025.05.16,C,5
2025.04.03,12:20:36.707404619,12:20:36.707192064,N,0.3,5,XRX   250620C00005000,XRX,2025.06.20,C,5
2025.04.03,12:40:54.818174427,12:40:54.817962496,N,0.2,1,XRX   250516C00005000,XRX,2025.05.16,C,5
2025.04.03,12:43:46.526567130,12:43:46.526355968,N,0.22,9,XRX   250516C00005000,XRX,2025.05.16,C,5
2025.04.03,15:01:03.554535165,15:01:03.554324736,N,0.22,1,XRX   250516C00005000,XRX,2025.05.16,C,5
2025.04.03,10:35:57.428898393,10:35:57.428687872,N,0.05,2,XRX   250417C00006000,XRX,2025.04.17,C,6
2025.04.03,11:14:56.930349175,11:14:56.930136064,N,0.05,11,XRX   250417P00003000,XRX,2025.04.17,P,3
2025.04.03,11:41:09.638654207,11:41:09.638444800,N,1.85,1,XRX   250417P00006000,XRX,2025.04.17,P,6
2025.04.03,15:23:46.481683231,15:23:46.481470720,N,0.05,20,XRX   250620C00009000,XRX,2025.06.20,C,9
2025.04.03,10:02:33.322582466,10:02:33.322365696,N,0.66,1,XRX   250516C00004000,XRX,2025.05.16,C,4
2025.04.03,10:05:28.495339265,10:05:28.495127552,N,0.66,1,XRX   250516C00004000,XRX,2025.05.16,C,4
